
 Real time propagation step:                1
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.110368367059E-15 -0.27926239E+01
      0.110337979537E-15  0.34896870E+00
      0.321432257370E-20  0.92662879E+00

 Real time propagation step:               50
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.198899107655E-23  0.87388346E+00
      0.100000000000E+01 -0.17317771E+01
      0.143925899793E-19  0.16800664E+01
      0.133161652469E-19  0.12682611E+01
      0.997550194295E-16 -0.19676389E+01
      0.997275580883E-16  0.11739538E+01
      0.294556329900E-20  0.11615108E+01

 Real time propagation step:               51
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.240083746167E-23  0.13403392E+01
      0.100000000000E+01 -0.13894232E+01
      0.154716712266E-19  0.19068050E+01
      0.123812367241E-19  0.14907561E+01
      0.173475834934E-15 -0.12637856E+01
      0.173428114770E-15  0.18778071E+01
      0.255725693098E-20  0.14027805E+01

 Real time propagation step:               52
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.272252563886E-23  0.18110427E+01
      0.100000000000E+01 -0.10470688E+01
      0.159006945874E-19  0.21327143E+01
      0.109191844085E-19  0.17185000E+01
      0.270384501617E-15 -0.83464687E+00
      0.270310154450E-15  0.23069459E+01
      0.209133412818E-20  0.16554660E+01

 Real time propagation step:               53
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.292419328653E-23  0.22839801E+01
      0.100000000000E+01 -0.70471333E+00
      0.156484120131E-19  0.23592617E+01
      0.908432016471E-20  0.19549393E+01
      0.285182502799E-15 -0.49321333E+00
      0.285104115587E-15  0.26483794E+01
      0.159825681883E-20  0.19275137E+01

 Real time propagation step:               54
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.299373155839E-23  0.27580695E+01
      0.100000000000E+01 -0.36235685E+00
      0.147452209389E-19  0.25879058E+01
      0.706736143371E-20  0.22055962E+01
      0.201631320659E-15 -0.90371482E-01
      0.201575933787E-15  0.30512213E+01
      0.113076602218E-20  0.22328313E+01

 Real time propagation step:               55
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.293329143123E-23 -0.30503173E+01
      0.100000000000E+01 -0.19999652E-01
      0.132788448680E-19  0.28203515E+01
      0.507531527324E-20  0.24803180E+01
      0.116555058003E-15  0.55962498E+00
      0.116523069669E-15 -0.25819677E+01
      0.737973512432E-21  0.25975701E+01

 Real time propagation step:               56
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.275650129474E-23 -0.25759445E+01
      0.100000000000E+01  0.32235765E+00
      0.113854125581E-19  0.30588903E+01
      0.330977801896E-20  0.27985253E+01
      0.118216867966E-15  0.14077599E+01
      0.118184400447E-15 -0.17338330E+01
      0.460536978536E-21  0.30690794E+01

 Real time propagation step:               57
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.248041348265E-23 -0.21031306E+01
      0.100000000000E+01  0.66471439E+00
      0.923609504066E-20 -0.29762187E+01
      0.194659795586E-20 -0.30817164E+01
      0.176243015678E-15  0.19800380E+01
      0.176194557903E-15 -0.11615550E+01
      0.327249080758E-21 -0.25878781E+01

 Real time propagation step:               58
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.212683902956E-23 -0.16332237E+01
      0.100000000000E+01  0.10070701E+01
      0.702102315579E-20 -0.27128660E+01
      0.111900070068E-20 -0.25143452E+01
      0.187346452586E-15  0.23333198E+01
      0.187294915854E-15 -0.80827313E+00
      0.352905730964E-21 -0.18909785E+01

 Real time propagation step:               59
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.172391204888E-23 -0.11688689E+01
      0.100000000000E+01  0.13494247E+01
      0.493228441208E-20 -0.24237089E+01
      0.905817649331E-21 -0.17503853E+01
      0.113992913645E-15  0.26468083E+01
      0.113961537827E-15 -0.49478480E+00
      0.537129411182E-21 -0.13132845E+01

 Real time propagation step:               60
  Projection on the MO number 2 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.129805627928E-23 -0.71155721E+00
