
 Real time propagation step:                1
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.873643481424E-16 -0.76764196E+00
      0.873489134076E-16  0.23738829E+01
      0.633483339836E-18  0.23879502E+01

 Real time propagation step:               47
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.139184268229E-21  0.11756788E+01
      0.124281729063E-19  0.78242971E+00
      0.490063200284E-17  0.30206240E+01
      0.100000000000E+01  0.10063935E+01
      0.227368232107E-15 -0.74792390E+00
      0.227319911340E-15  0.23936251E+01
      0.647322216974E-18  0.24071489E+01

 Real time propagation step:               48
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.117184884380E-21  0.13124783E+01
      0.134293176053E-19  0.92550222E+00
      0.502031015233E-17  0.30493182E+01
      0.100000000000E+01  0.10278062E+01
      0.241696070484E-15 -0.73126699E+00
      0.241644686044E-15  0.24102818E+01
      0.660308148138E-18  0.24264485E+01

 Real time propagation step:               49
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.857583812760E-22  0.14054070E+01
      0.137943252110E-19  0.10696522E+01
      0.513834245585E-17  0.30779533E+01
      0.100000000000E+01  0.10492179E+01
      0.109426547668E-15 -0.71829547E+00
      0.109406948842E-15  0.24232298E+01
      0.672463045726E-18  0.24458455E+01

 Real time propagation step:               50
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.560292850258E-22  0.13935029E+01
      0.134892725898E-19  0.12129630E+01
      0.525486204830E-17  0.31065404E+01
      0.100000000000E+01  0.10706289E+01
      0.276906759825E-17 -0.76363364E+00
      0.277016534912E-17  0.23775406E+01
      0.683823629565E-18  0.24653447E+01

 Real time propagation step:               51
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.399645216160E-22  0.12036798E+01
      0.125497656151E-19  0.13534417E+01
      0.536999304500E-17  0.31350891E+01
      0.100000000000E+01  0.10920398E+01
      0.569627450846E-16  0.24852302E+01
      0.569394955132E-16 -0.65626045E+00
      0.694435723972E-18  0.24849503E+01

 Real time propagation step:               52
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.453206462453E-22  0.93473201E+00
      0.110765085198E-19  0.14886428E+01
      0.548381096080E-17 -0.31195785E+01
      0.100000000000E+01  0.11134513E+01
      0.185447913881E-15  0.24946856E+01
      0.185382903959E-15 -0.64684888E+00
      0.704341111653E-18  0.25046580E+01

 Real time propagation step:               53
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.722094385466E-22  0.82451222E+00
      0.922492595635E-20  0.16150694E+01
      0.559633933398E-17 -0.30910874E+01
      0.100000000000E+01  0.11348637E+01
      0.199853228927E-15  0.25104924E+01
      0.199783604808E-15 -0.63104238E+00
      0.713566032101E-18  0.25244602E+01

 Real time propagation step:               54
  Projection on the MO number 4 from the reference file RTP-RESTART.wfn
  For each TD MOs required is printed: Population & Phase [rad] 
      0.112668400093E-21  0.87923916E+00
      0.718808295807E-20  0.17271308E+01
      0.570757006283E-17 -0.30626202E+01
      0.100000000000E+01  0.11562772E+01
      0.767915068005E-16  0.25293586E+01
      0.767613022707E-16 -0.61213748E+00
