#       omega [a.u.]         Energy [eV]       Real pol. 1 1       Imag pol. 1 1
     0.20583403E+001     0.56010287E+002    -0.31472583E+001     0.55620493E-001
     0.20659356E+001     0.56216967E+002    -0.30434764E+001     0.59326275E-001
     0.20735310E+001     0.56423647E+002    -0.29344363E+001     0.62449896E-001
     0.20811263E+001     0.56630327E+002    -0.28190167E+001     0.66877972E-001
     0.20887217E+001     0.56837007E+002    -0.26940470E+001     0.74158927E-001
     0.20963170E+001     0.57043687E+002    -0.25536706E+001     0.87520594E-001
     0.21039124E+001     0.57250367E+002    -0.23867762E+001     0.11905414E+000
     0.21115077E+001     0.57457047E+002    -0.22158289E+001     0.23890265E+000
     0.21191031E+001     0.57663727E+002    -0.21635627E+001     0.21630632E+000
     0.21266984E+001     0.57870407E+002    -0.18621309E+001     0.21611033E+000
     0.21342938E+001     0.58077087E+002    -0.14468560E+001     0.34356107E+000
     0.21418891E+001     0.58283768E+002    -0.85854973E+000     0.84993646E+000
     0.21494845E+001     0.58490448E+002    -0.99872380E+000     0.14099251E+001
     0.21570798E+001     0.58697128E+002     0.37443049E+000     0.26155636E+001
     0.21646752E+001     0.58903808E+002    -0.40691396E+001     0.67633422E+001
     0.21722705E+001     0.59110488E+002    -0.54670878E+001     0.18238798E+001
     0.21798659E+001     0.59317168E+002    -0.42117916E+001     0.75865654E+000
     0.21874612E+001     0.59523848E+002    -0.33721287E+001     0.57574632E+000
     0.21950566E+001     0.59730528E+002    -0.25639817E+001     0.88724932E+000
     0.22026520E+001     0.59937208E+002    -0.27229483E+001     0.28552276E+001
     0.22102473E+001     0.60143888E+002    -0.47354825E+001     0.13611812E+001
     0.22178427E+001     0.60350568E+002    -0.41557170E+001     0.45693838E+000
     0.22254380E+001     0.60557248E+002    -0.36917277E+001     0.23898088E+000
     0.22330334E+001     0.60763928E+002    -0.33759679E+001     0.16989944E+000
     0.22406287E+001     0.60970608E+002    -0.31181561E+001     0.14937453E+000
     0.22482241E+001     0.61177288E+002    -0.28668917E+001     0.16130496E+000
     0.22558194E+001     0.61383968E+002    -0.25697353E+001     0.22439069E+000
     0.22634148E+001     0.61590648E+002    -0.21287406E+001     0.45014633E+000
     0.22710101E+001     0.61797328E+002    -0.15432228E+001     0.16002116E+001
     0.22786055E+001     0.62004008E+002    -0.43221220E+001     0.22988105E+001
