#      omega [at.u.]      x,real [at.u.]      x,imag [at.u.]      y,real [at.u.]      y,imag [at.u.]      z,real [at.u.]      z,imag [at.u.]
    -0.67784411E+001    -0.49486287E-004     0.43107582E-007    -0.81560459E-009     0.13110451E-008     0.18232998E-008    -0.11513150E-007
    -0.67708420E+001    -0.49517720E-004     0.43612442E-007    -0.33208063E-008    -0.78591724E-009     0.56211761E-008    -0.73469684E-008
    -0.67632428E+001    -0.49549572E-004     0.43868107E-007    -0.12336513E-008    -0.23515888E-008     0.51465175E-008    -0.29160411E-008
    -0.67556437E+001    -0.49581622E-004     0.44108897E-007     0.28145973E-008    -0.97032046E-009     0.11048325E-010    -0.26427449E-008
    -0.67480445E+001    -0.49613968E-004     0.44782964E-007    -0.24054470E-011     0.20656510E-008     0.28459892E-009    -0.90317178E-008
    -0.67404454E+001    -0.49647070E-004     0.45362072E-007    -0.22813622E-008     0.12159259E-008     0.82198995E-008    -0.12747025E-007
    -0.67328462E+001    -0.49680311E-004     0.45546182E-007    -0.18773989E-008    -0.38624103E-009     0.14574380E-007    -0.91133727E-009
    -0.67252471E+001    -0.49713845E-004     0.46257472E-007    -0.25489713E-008    -0.45570498E-009     0.87400069E-008     0.51586750E-008
    -0.67176479E+001    -0.49748077E-004     0.46568507E-007    -0.16608063E-008    -0.23961058E-008     0.21560113E-008     0.26493973E-008
    -0.67100488E+001    -0.49782342E-004     0.46631798E-007    -0.10966955E-009    -0.11799542E-008     0.38525052E-008    -0.16155525E-008
    -0.67024496E+001    -0.49816758E-004     0.47014497E-007    -0.16241400E-009    -0.61301564E-010     0.11104654E-007    -0.69345272E-009
    -0.66948505E+001    -0.49851902E-004     0.47444387E-007    -0.17170187E-008     0.30597521E-009     0.11145111E-007     0.10032586E-007
    -0.66872513E+001    -0.49887264E-004     0.47424629E-007    -0.17612426E-008    -0.11630711E-008     0.14898657E-008     0.94072805E-008
    -0.66796522E+001    -0.49922571E-004     0.47940487E-007    -0.13032716E-008    -0.11659770E-008    -0.23883703E-008     0.43564850E-008
    -0.66720530E+001    -0.49958770E-004     0.48408651E-007    -0.17839923E-008    -0.24573397E-008     0.63827808E-009     0.49961219E-008
    -0.66644539E+001    -0.49994990E-004     0.48484752E-007     0.60232319E-009    -0.21005491E-008    -0.55559029E-008     0.22246523E-008
    -0.66568547E+001    -0.50031362E-004     0.48930821E-007    -0.44316691E-009    -0.67004803E-009    -0.74188871E-009    -0.15724813E-008
    -0.66492556E+001    -0.50068467E-004     0.49553288E-007    -0.43599608E-009    -0.12454050E-008     0.65335352E-008    -0.20982432E-008
    -0.66416564E+001    -0.50105983E-004     0.49697124E-007     0.43087051E-009    -0.26780400E-008     0.93445034E-008     0.36049544E-008
    -0.66340573E+001    -0.50143421E-004     0.50111398E-007     0.17500186E-008    -0.12410470E-008     0.23116355E-008     0.11988204E-007
    -0.66264581E+001    -0.50181861E-004     0.50845499E-007     0.16184402E-008     0.12985932E-010    -0.37906744E-008     0.87889740E-008
    -0.66188590E+001    -0.50220589E-004     0.50955697E-007     0.53121884E-009    -0.73861471E-010    -0.64087586E-008     0.86616913E-008
    -0.66112598E+001    -0.50259356E-004     0.51203246E-007     0.77516196E-009     0.12255093E-008    -0.79140382E-008     0.31852473E-008
    -0.66036607E+001    -0.50298698E-004     0.51585540E-007    -0.10907120E-008     0.14909315E-008    -0.87154848E-008     0.18968389E-008
    -0.65960615E+001    -0.50338444E-004     0.51628005E-007    -0.18690277E-008    -0.44650399E-009    -0.60425880E-008    -0.21864887E-008
    -0.65884624E+001    -0.50377968E-004     0.51695868E-007    -0.10948559E-008     0.18891109E-009    -0.28001280E-008     0.12046662E-008
    -0.65808632E+001    -0.50418152E-004     0.52364837E-007    -0.44875890E-009    -0.12291202E-008    -0.73715695E-008    -0.94527647E-010
    -0.65732641E+001    -0.50458979E-004     0.52574120E-007    -0.13808127E-008     0.73394071E-009    -0.67739319E-008    -0.68641005E-008
    -0.65656649E+001    -0.50499804E-004     0.52928525E-007    -0.10764236E-008    -0.21819747E-008    -0.11766848E-008    -0.37681409E-008
    -0.65580658E+001    -0.50541311E-004     0.53564690E-007     0.14499013E-010    -0.64825143E-009    -0.59352061E-009    -0.55740534E-008
    -0.65504666E+001    -0.50583443E-004     0.53935470E-007    -0.36903083E-009    -0.83754789E-009     0.31354071E-008    -0.43226904E-008
    -0.65428675E+001    -0.50625629E-004     0.54037045E-007    -0.80385923E-009     0.54652917E-009     0.26232587E-008    -0.12943651E-008
    -0.65352683E+001    -0.50668234E-004     0.54592259E-007    -0.87607764E-009    -0.19203126E-008     0.53939373E-008    -0.32507504E-008
    -0.65276692E+001    -0.50711568E-004     0.54774319E-007    -0.91884141E-009    -0.14585514E-008     0.23431290E-008     0.33072363E-008
    -0.65200700E+001    -0.50754756E-004     0.54873205E-007     0.53151399E-009    -0.24521215E-008     0.53117647E-008     0.77136487E-009
    -0.65124709E+001    -0.50798581E-004     0.55348096E-007     0.10756432E-008    -0.12032838E-008     0.71089669E-008     0.13720954E-007
    -0.65048717E+001    -0.50842968E-004     0.55582566E-007     0.29961106E-008    -0.17168184E-008    -0.97388390E-008     0.15653118E-007
    -0.64972726E+001    -0.50887521E-004     0.55643548E-007     0.28573408E-008     0.27395662E-008    -0.16038226E-007     0.56260189E-008
    -0.64896734E+001    -0.50932339E-004     0.56077430E-007    -0.91755068E-009     0.39831404E-008    -0.14926597E-007    -0.45943540E-008
    -0.64820743E+001    -0.50977926E-004     0.56350919E-007    -0.39630920E-008     0.26027870E-009    -0.39651664E-008    -0.12293095E-007
    -0.64744751E+001    -0.51023552E-004     0.56451709E-007     0.18036801E-009    -0.17978512E-008     0.97749928E-009    -0.17445665E-008
    -0.64668760E+001    -0.51069724E-004     0.57119749E-007    -0.12146712E-008     0.52063663E-009    -0.14572065E-008    -0.90449979E-009
    -0.64592768E+001    -0.51116553E-004     0.57481505E-007    -0.11266401E-008     0.59502586E-010    -0.80963065E-008    -0.24740550E-008
    -0.64516777E+001    -0.51163704E-004     0.57725326E-007    -0.14358294E-008    -0.31659716E-009    -0.52123466E-008    -0.82169844E-008
    -0.64440785E+001    -0.51211270E-004     0.58213620E-007    -0.75651449E-009    -0.94463853E-009     0.28789213E-009    -0.13510038E-007
    -0.64364794E+001    -0.51259682E-004     0.58539127E-007    -0.69584407E-009    -0.87244473E-009     0.87847042E-008    -0.24054023E-008
    -0.64288802E+001    -0.51308219E-004     0.58377325E-007     0.21905082E-009    -0.10244407E-008    -0.32087880E-009    -0.41051093E-008
    -0.64212811E+001    -0.51356933E-004     0.58694447E-007    -0.10379768E-009    -0.59930518E-010     0.10018336E-007    -0.36877972E-008
    -0.64136820E+001    -0.51406437E-004     0.58792368E-007    -0.96623383E-009     0.59534399E-009     0.67927745E-008     0.90796347E-008
    -0.64060828E+001    -0.51455991E-004     0.58849325E-007    -0.88880556E-009    -0.11334947E-008    -0.23926348E-008    -0.19225256E-009
    -0.63984837E+001    -0.51505887E-004     0.59283155E-007    -0.80931204E-009    -0.12323195E-008     0.64269076E-008    -0.21441922E-008
    -0.63908845E+001    -0.51556765E-004     0.59769663E-007     0.91880782E-009    -0.90654836E-009     0.16756739E-008     0.84163778E-008
    -0.63832854E+001    -0.51608026E-004     0.59815884E-007     0.22367692E-008     0.10034533E-008    -0.56508234E-008     0.30007111E-008
    -0.63756862E+001    -0.51659432E-004     0.60262420E-007    -0.14486822E-008     0.28336072E-008     0.24513996E-008    -0.39947583E-008
    -0.63680871E+001    -0.51712031E-004     0.60700726E-007    -0.14905799E-008     0.10183452E-008     0.62894397E-008     0.69577451E-008
    -0.63604879E+001    -0.51764716E-004     0.60703603E-007    -0.28460838E-008    -0.24901036E-009    -0.10813904E-009     0.12119214E-007
    -0.63528888E+001    -0.51817708E-004     0.60964748E-007    -0.67539808E-009    -0.11664485E-008    -0.63116629E-008     0.92615416E-008
    -0.63452896E+001    -0.51871636E-004     0.61389500E-007    -0.44327003E-009     0.12899046E-008    -0.14618100E-007     0.79319491E-008
    -0.63376905E+001    -0.51926001E-004     0.61379174E-007    -0.29363030E-008    -0.33791130E-009    -0.16070603E-007    -0.64567828E-008
    -0.63300913E+001    -0.51980420E-004     0.61472176E-007     0.73690968E-009    -0.17696548E-008    -0.13219131E-008    -0.93121735E-008
    -0.63224922E+001    -0.52035986E-004     0.61891002E-007    -0.66453400E-009     0.24593962E-008     0.15292781E-009     0.17685273E-008
    -0.63148930E+001    -0.52091894E-004     0.61672917E-007    -0.33158545E-008     0.12602784E-008    -0.80055479E-008     0.26172315E-009
    -0.63072939E+001    -0.52147924E-004     0.61733911E-007    -0.87964118E-009     0.22571623E-009    -0.11944469E-007    -0.47126522E-008
    -0.62996947E+001    -0.52204796E-004     0.62133000E-007    -0.33435908E-008     0.14732913E-008    -0.67322786E-008    -0.12246029E-007
    -0.62920956E+001    -0.52262420E-004     0.62219017E-007    -0.53905293E-008     0.31675707E-009     0.27478151E-008    -0.13116662E-007
    -0.62844964E+001    -0.52320268E-004     0.62326907E-007    -0.47649533E-008    -0.27153227E-008     0.75092303E-008    -0.25716944E-008
    -0.62768973E+001    -0.52379062E-004     0.63009519E-007    -0.37547644E-008    -0.39944015E-008    -0.58598330E-008    -0.25048552E-008
    -0.62692981E+001    -0.52438872E-004     0.63010360E-007    -0.13570614E-008    -0.43052314E-008     0.11861738E-008    -0.10351249E-007
    -0.62616990E+001    -0.52498898E-004     0.63067639E-007    -0.10310389E-008    -0.28120632E-008     0.77341251E-008    -0.47806068E-008
    -0.62540998E+001    -0.52559812E-004     0.63317024E-007    -0.16169109E-008    -0.25242615E-008     0.31717041E-008    -0.20496919E-008
    -0.62465007E+001    -0.52621623E-004     0.63130298E-007    -0.10095712E-008    -0.20372716E-008     0.80271912E-008    -0.29105267E-008
    -0.62389015E+001    -0.52683664E-004     0.62812396E-007    -0.34711422E-008    -0.32867204E-008     0.74031412E-008     0.98064034E-008
